Rooms,Price,Bathroom,Landsize,Lattitude,Longtitude
2,512000.0,1.0,0.0,-37.7805,145.0262
4,1900000.0,2.0,556.0,-37.7844,145.0225
4,1950000.0,2.0,589.0,-37.7719,145.0309
3,520000.0,2.0,352.0,-37.87,144.825
5,1525000.0,3.0,729.0,-37.8721,144.8105
2,720000.0,1.0,292.0,-37.8687,144.8197
3,1120000.0,1.0,506.0,-37.8693,144.8375
4,1780000.0,3.0,1057.0,-37.8681,144.819
3,630000.0,1.0,311.0,-37.8702,144.8143
3,660000.0,1.0,602.0,-37.8616,144.8116
2,580000.0,1.0,225.0,-37.8696,144.827
3,1335000.0,1.0,777.0,-37.8697,144.8249
2,510000.0,1.0,127.0,-37.8686,144.8182
2,425000.0,1.0,115.0,-37.871,144.8185
2,391000.0,1.0,0.0,-37.8678,144.8384
4,845000.0,1.0,745.0,-37.8658,144.8155
3,730000.0,2.0,69.0,-37.868,144.8286
2,447000.0,1.0,137.0,-37.8655,144.8299
3,678000.0,1.0,606.0,-37.8608,144.8124
2,580000.0,2.0,175.0,-37.8687,144.8268
3,840000.0,2.0,534.0,-37.86,144.8245
3,577000.0,2.0,205.0,-37.8684,144.815
2,857000.0,2.0,675.0,-37.8653,144.8129
3,730000.0,2.0,70.0,-37.868,144.8285
2,535600.0,1.0,154.0,-37.8646,144.8272
5,1085000.0,3.0,592.0,-37.8388,144.8567
3,781000.0,1.0,533.0,-37.8291,144.835
2,421000.0,1.0,77.0,-37.8351,144.8529
3,683000.0,1.0,534.0,-37.8284,144.8355
3,720000.0,2.0,0.0,-37.8379,144.8583
3,588000.0,1.0,328.0,-37.838,144.8555
3,710000.0,1.0,540.0,-37.8294,144.8378
4,875000.0,1.0,559.0,-37.8448,144.8529
3,675000.0,2.0,171.0,-37.8337,144.8554
3,708000.0,1.0,585.0,-37.8258,144.8523
4,693000.0,2.0,315.0,-37.8391,144.8467
3,620000.0,2.0,276.0,-37.8262,144.8443
3,728500.0,1.0,531.0,-37.8277,144.8385
3,931000.0,2.0,590.0,-37.8382,144.8649
3,815000.0,2.0,555.0,-37.8318,144.8388
4,1200000.0,1.0,633.0,-37.8375,144.8541
2,292000.0,1.0,153.0,-37.8332,144.8649
2,599000.0,1.0,0.0,-37.8543,145.0262
3,995000.0,2.0,0.0,-37.8552,145.016
3,1205000.0,2.0,101.0,-37.854,145.0135
3,1939000.0,2.0,296.0,-37.8614,145.0274
3,1870000.0,1.0,217.0,-37.8592,145.0182
3,1918000.0,2.0,0.0,-37.8537,145.0267
3,2050000.0,2.0,205.0,-37.8574,145.0281
3,735000.0,2.0,2113.0,-37.8543,145.0262
1,1435000.0,2.0,144.0,-37.8564,145.0228
1,280000.0,1.0,0.0,-37.8619,145.0185
2,592500.0,1.0,0.0,-37.8574,145.0174
2,1210000.0,1.0,249.0,-37.8543,145.016
4,2801000.0,2.0,624.0,-37.8536,145.0173
3,1800000.0,2.0,405.0,-37.8545,145.0145
4,2200000.0,1.0,495.0,-37.8613,145.0264
6,5525000.0,3.0,1491.0,-37.8602,145.013
1,440000.0,1.0,0.0,-37.8531,145.0115
3,1300000.0,1.0,212.0,-37.8542,145.0149
2,704000.0,1.0,0.0,-37.8573,145.0186
2,620000.0,1.0,0.0,-37.8596,145.0198
3,1900000.0,1.0,328.0,-37.8559,145.0158
2,710000.0,1.0,2471.0,-37.8573,145.0186
2,598000.0,1.0,0.0,-37.8593,145.0156
3,1285000.0,1.0,186.0,-37.8554,145.0173
2,520000.0,1.0,0.0,-37.8618,145.0183
4,3625000.0,1.0,709.0,-37.8574,145.016
4,4200000.0,3.0,563.0,-37.8582,145.0138
3,1101000.0,1.0,103.0,-37.8542,145.0135
3,3512500.0,2.0,617.0,-37.8557,145.0264
3,869000.0,1.0,0.0,-37.853,145.0264
1,567000.0,1.0,0.0,-37.8549,145.0113
3,940000.0,1.0,298.0,-37.7777,144.9195
2,467000.0,1.0,0.0,-37.7761,144.9201
3,1380000.0,2.0,277.0,-37.7777,144.9221
2,490000.0,1.0,423.0,-37.7736,144.9015
4,1850000.0,3.0,478.0,-37.7729,144.9179
3,971000.0,2.0,285.0,-37.775,144.9091
2,710000.0,1.0,214.0,-37.7776,144.9142
6,2425000.0,3.0,1014.0,-37.7721,144.9184
2,750000.0,1.0,226.0,-37.7745,144.9093
2,1053000.0,1.0,269.0,-37.7748,144.929
3,1377000.0,1.0,417.0,-37.7756,144.9208
3,970000.0,1.0,350.0,-37.7759,144.91
2,751000.0,1.0,118.0,-37.7807,144.9288
2,950000.0,1.0,173.0,-37.7731,144.9206
2,685000.0,1.0,228.0,-37.7718,144.9066
3,1230000.0,1.0,594.0,-37.7819,144.9064
2,770000.0,1.0,226.0,-37.7774,144.9186
4,890000.0,1.0,300.0,-37.7766,144.9143
3,1440000.0,1.0,487.0,-37.7725,144.9146
3,1000000.0,2.0,440.0,-37.7746,144.9031
3,1435000.0,2.0,532.0,-37.7737,144.904
1,390000.0,1.0,0.0,-37.7723,144.9094
3,1425000.0,2.0,495.0,-37.7821,144.9055
4,1340000.0,2.0,683.0,-37.775,144.93200000000004
3,955000.0,1.0,263.0,-37.7753,144.9116
4,1100000.0,2.0,559.0,-37.7791,144.9136
2,432000.0,1.0,0.0,-37.773,144.9303
4,1640000.0,3.0,562.0,-37.782,144.903
6,1430000.0,2.0,461.0,-37.78,144.9295
2,610000.0,1.0,301.0,-37.7791,144.914
3,940000.0,3.0,491.0,-37.7727,144.9136
3,890000.0,1.0,242.0,-37.7765,144.9114
3,1180000.0,2.0,617.0,-37.7742,144.906
4,1480000.0,2.0,597.0,-37.7757,144.9088
2,865000.0,2.0,146.0,-37.7713,144.9038
2,442000.0,1.0,0.0,-37.7733,144.9219
3,1037500.0,1.0,506.0,-37.7779,144.9133
3,1050000.0,2.0,318.0,-37.7744,144.9035
2,440000.0,1.0,0.0,-37.7749,144.9137
4,1430000.0,2.0,418.0,-37.7766,144.9187
3,1130000.0,2.0,272.0,-37.7774,144.928
3,1135000.0,1.0,296.0,-37.777,144.9176
4,950000.0,2.0,298.0,-37.7778,144.9131
2,390000.0,1.0,1957.0,-37.7731,144.9074
4,1345000.0,1.0,552.0,-37.7769,144.9138
3,1381500.0,2.0,416.0,-37.7727,144.9055
3,940000.0,2.0,285.0,-37.7778,144.9061
3,995000.0,2.0,314.0,-37.7778,144.9042
3,786000.0,2.0,576.0,-37.7816,144.9217
2,705000.0,1.0,252.0,-37.7825,144.9206
2,760000.0,1.0,124.0,-37.7807,144.9285
3,1000000.0,2.0,200.0,-37.7766,144.9277
3,1305000.0,1.0,278.0,-37.7768,144.9223
3,1215000.0,1.0,452.0,-37.7762,144.9174
2,545000.0,1.0,194.0,-37.7772,144.9118
4,1705000.0,2.0,598.0,-37.7774,144.9104
4,2650000.0,3.0,753.0,-37.8669,145.0767
3,1670000.0,2.0,599.0,-37.8673,145.0688
3,2050000.0,3.0,310.0,-37.874,145.0714
3,1555000.0,2.0,731.0,-37.8666,145.0676
3,1100000.0,3.0,276.0,-37.8699,145.0778
3,1337000.0,1.0,583.0,-37.8685,145.0786
8,2950000.0,7.0,1472.0,-37.8729,145.0788
3,1518000.0,2.0,516.0,-37.8675,145.0668
3,1710000.0,1.0,806.0,-37.8695,145.084
3,1655000.0,1.0,780.0,-37.8599,145.0815
4,1550000.0,2.0,780.0,-37.86,145.0817
3,1662000.0,2.0,351.0,-37.8742,145.07
3,1665000.0,2.0,702.0,-37.8737,145.0695
5,3510000.0,5.0,755.0,-37.8598,145.0796
3,900000.0,2.0,153.0,-37.8655,145.0808
5,2752000.0,4.0,1075.0,-37.8714,145.07299999999995
3,1500000.0,2.0,710.0,-37.8653,145.0897
4,1800000.0,2.0,749.0,-37.8669,145.077
3,1830000.0,2.0,724.0,-37.8619,145.0879
3,1415000.0,1.0,605.0,-37.8703,145.0774
2,1440000.0,1.0,687.0,-37.872,145.0692
4,1250000.0,2.0,321.0,-37.8693,145.08
5,1600000.0,3.0,700.0,-37.8724,145.0758
4,1860000.0,2.0,696.0,-37.8711,145.0746
4,1790000.0,2.0,514.0,-37.8664,145.0772
4,1950000.0,2.0,844.0,-37.8715,145.0688
3,1650000.0,1.0,697.0,-37.8636,145.0903
4,1200000.0,3.0,372.0,-37.8716,145.0999
2,1075000.0,1.0,695.0,-37.8694,145.0944
4,1500000.0,2.0,621.0,-37.8647,145.1023
2,700000.0,1.0,367.0,-37.8662,145.109
3,761000.0,2.0,400.0,-37.8675,145.106
3,1365000.0,1.0,792.0,-37.864,145.0972
4,1100000.0,2.0,803.0,-37.8621,145.1126
2,690000.0,1.0,216.0,-37.8711,145.1017
3,1631000.0,2.0,782.0,-37.8621,145.1021
4,1500000.0,2.0,593.0,-37.8655,145.096
5,1529500.0,3.0,585.0,-37.8637,145.1024
2,600000.0,1.0,153.0,-37.8696,145.0962
4,1240000.0,2.0,766.0,-37.8629,145.1097
2,700000.0,1.0,192.0,-37.8709,145.102
2,1110000.0,1.0,586.0,-37.8683,145.1082
3,1305000.0,1.0,760.0,-37.858,145.1038
3,855000.0,2.0,320.0,-37.87,145.1103
3,900500.0,2.0,256.0,-37.8655,145.1096
3,1200000.0,2.0,839.0,-37.8614,145.1098
3,830000.0,1.0,212.0,-37.8723,145.1089
3,850000.0,1.0,593.0,-37.7677,144.8674
3,750000.0,1.0,0.0,-37.7634,144.8611
3,851000.0,3.0,557.0,-37.77,144.8572
4,1155000.0,2.0,569.0,-37.7654,144.8655
3,680000.0,1.0,570.0,-37.7591,144.8542
3,627500.0,1.0,550.0,-37.7632,144.8622
4,950000.0,3.0,761.0,-37.7524,144.8714
3,705000.0,1.0,581.0,-37.7691,144.8575
4,1100000.0,3.0,873.0,-37.7609,144.8639
3,892500.0,1.0,586.0,-37.7642,144.8603
2,522500.0,1.0,220.0,-37.756,144.8641
4,680000.0,2.0,554.0,-37.7649,144.8633
3,875000.0,1.0,812.0,-37.765,144.8578
4,762000.0,2.0,589.0,-37.7573,144.8534
2,411000.0,1.0,0.0,-37.7608,144.863
3,805000.0,2.0,593.0,-37.7607,144.8581
3,634000.0,2.0,582.0,-37.7584,144.8568
4,1819000.0,2.0,244.0,-37.8668,144.9928
2,410000.0,1.0,0.0,-37.8731,144.9958
2,1015000.0,1.0,114.0,-37.8723,144.9961
2,502500.0,1.0,0.0,-37.8725,144.9952
2,520000.0,1.0,0.0,-37.8742,144.9972
2,442000.0,1.0,0.0,-37.8726,144.9962
3,1193000.0,1.0,178.0,-37.8663,144.9948
2,416000.0,1.0,0.0,-37.8678,144.9966
2,474000.0,1.0,0.0,-37.8667,144.9917
2,981000.0,1.0,159.0,-37.874,144.9933
3,1690000.0,2.0,339.0,-37.872,144.9909
2,540000.0,1.0,483.0,-37.8727,144.9969
2,2100000.0,1.0,659.0,-37.8094,145.0807
4,1800000.0,2.0,715.0,-37.811,145.0958
2,1255000.0,1.0,208.0,-37.8128,145.0975
3,1070000.0,2.0,206.0,-37.8161,145.0812
5,2570000.0,3.0,715.0,-37.8028,145.0768
4,2400000.0,2.0,744.0,-37.8147,145.0748
2,806000.0,1.0,122.0,-37.8124,145.0916
6,4000000.0,4.0,2051.0,-37.8051,145.1016
5,2250000.0,3.0,600.0,-37.8061,145.0801
5,2800000.0,3.0,678.0,-37.8048,145.0708
2,1850000.0,1.0,1015.0,-37.8074,145.0826
3,700000.0,1.0,188.0,-37.8065,145.065
2,500000.0,1.0,0.0,-37.8162,145.0841
3,2125000.0,2.0,699.0,-37.814,145.0966
4,1800000.0,2.0,577.0,-37.8032,145.0693
2,635000.0,1.0,0.0,-37.8116,145.0724
2,526000.0,1.0,0.0,-37.8144,145.0993
3,905000.0,1.0,281.0,-37.8013,145.0652
4,1750000.0,3.0,453.0,-37.8044,145.1006
2,760000.0,1.0,121.0,-37.8112,145.0881
3,1367000.0,2.0,219.0,-37.8125,145.0849
4,1400000.0,3.0,241.0,-37.8042,145.1042
4,3270000.0,2.0,935.0,-37.8157,145.0795
2,625000.0,1.0,115.0,-37.8122,145.0879
4,2730000.0,3.0,674.0,-37.8068,145.0786
2,460000.0,1.0,0.0,-37.8152,145.0839
2,1053000.0,1.0,231.0,-37.8123,145.0821
3,1472000.0,2.0,306.0,-37.8106,145.0848
2,754000.0,1.0,87.0,-37.8134,145.08100000000005
4,2188000.0,2.0,752.0,-37.8149,145.0747
2,755000.0,1.0,213.0,-37.8092,145.0789
4,3290000.0,3.0,1007.0,-37.8135,145.0995
4,2410000.0,2.0,685.0,-37.8056,145.071
2,650000.0,1.0,0.0,-37.8147,145.084
4,2000000.0,1.0,739.0,-37.8039,145.0631
4,1900000.0,2.0,665.0,-37.8057,145.0825
3,3401000.0,2.0,706.0,-37.8161,145.0748
3,1750000.0,2.0,613.0,-37.8056,145.0688
5,3020000.0,3.0,715.0,-37.8028,145.0768
5,2450000.0,2.0,981.0,-37.8058,145.0627
2,730000.0,1.0,130.0,-37.812,145.0876
3,1500000.0,2.0,404.0,-37.8075,145.1011
4,1700000.0,1.0,672.0,-37.8099,145.0792
3,1315000.0,2.0,260.0,-37.7966,145.1021
3,1500000.0,2.0,778.0,-37.7939,145.0789
4,3230000.0,4.0,1135.0,-37.8014,145.0892
4,1905000.0,2.0,647.0,-37.7917,145.0868
5,3300000.0,4.0,760.0,-37.7907,145.0907
4,1900000.0,2.0,642.0,-37.7988,145.0726
3,2251000.0,1.0,888.0,-37.8002,145.0949
4,2205000.0,2.0,750.0,-37.7906,145.0788
3,1265000.0,2.0,347.0,-37.7947,145.1035
4,1750000.0,2.0,673.0,-37.7856,145.0918
3,1450000.0,1.0,665.0,-37.7862,145.0781
4,2614000.0,2.0,772.0,-37.7959,145.0787
4,1825000.0,2.0,736.0,-37.7944,145.1028
5,3250000.0,4.0,886.0,-37.804,145.0951
3,1150000.0,2.0,207.0,-37.7893,145.092
4,1572000.0,2.0,662.0,-37.798,145.1007
5,1750000.0,3.0,705.0,-37.7851,145.0775
4,1850000.0,2.0,619.0,-37.8025,145.0843
4,2130000.0,3.0,1274.0,-37.7822,145.0907
5,3690000.0,4.0,624.0,-37.802,145.0797
4,1740000.0,2.0,610.0,-37.7843,145.0891
4,2575000.0,3.0,657.0,-37.7981,145.0904
4,1388800.0,2.0,517.0,-37.783,145.0926
4,1800000.0,2.0,587.0,-37.7841,145.0953
4,2910000.0,3.0,1070.0,-37.7975,145.0716
5,2200000.0,3.0,900.0,-37.7868,145.0677
3,1700000.0,2.0,763.0,-37.7935,145.0865
3,1230000.0,3.0,310.0,-37.7949,145.1014
7,2600000.0,3.0,637.0,-37.7898,145.0967
4,1950000.0,3.0,665.0,-37.7889,145.0904
5,1750000.0,2.0,710.0,-37.7907,145.0916
5,2000000.0,2.0,1002.0,-37.796,145.0984
3,1480000.0,1.0,605.0,-37.7951,145.0696
3,1818000.0,1.0,722.0,-37.7956,145.0829
4,2525000.0,2.0,1235.0,-37.7988,145.089
4,3360000.0,3.0,904.0,-37.797,145.086
3,1903000.0,1.0,713.0,-37.7982,145.0816
4,1720000.0,3.0,869.0,-37.8002,145.0999
4,1675000.0,2.0,667.0,-37.7835,145.0883
4,1680000.0,3.0,362.0,-37.7987,145.0788
5,4000000.0,5.0,1364.0,-37.7961,145.0859
4,2205000.0,2.0,1010.0,-37.7982,145.0903
3,2100000.0,2.0,949.0,-37.796,145.0696
2,685000.0,1.0,177.0,-37.7935,145.0679
3,1335000.0,2.0,368.0,-37.7846,145.0935
4,1900000.0,2.0,587.0,-37.7841,145.0953
2,1040000.0,1.0,250.0,-37.7996,145.0959
4,1250000.0,2.0,644.0,-37.7997,145.0993
5,1875000.0,3.0,842.0,-37.7854,145.0869
4,1530000.0,2.0,701.0,-37.7839,145.0954
4,1700000.0,2.0,754.0,-37.786,145.0886
3,1651000.0,1.0,657.0,-37.7895,145.0985
5,1920000.0,3.0,900.0,-37.7868,145.0677
5,1560000.0,2.0,845.0,-37.7898,145.1021
3,1038000.0,2.0,207.0,-37.7893,145.092
5,1660000.0,3.0,737.0,-37.7975,145.0961
3,1770000.0,2.0,720.0,-37.7938,145.0838
2,691500.0,1.0,0.0,-37.7938,145.0666
3,875000.0,1.0,348.0,-37.9273,145.0479
3,1425000.0,2.0,613.0,-37.9311,145.0428
2,851000.0,1.0,140.0,-37.9204,145.0443
3,1222500.0,2.0,299.0,-37.9272,145.0406
3,1317500.0,1.0,576.0,-37.9149,145.0254
2,360000.0,1.0,0.0,-37.9332,145.045
4,1435000.0,3.0,291.0,-37.9278,145.0337
3,1110000.0,1.0,692.0,-37.9263,145.04
4,2435000.0,2.0,795.0,-37.9166,145.0314
3,1500000.0,2.0,565.0,-37.9134,145.0263
4,1300000.0,2.0,697.0,-37.9318,145.0474
3,1125000.0,1.0,584.0,-37.9199,145.0477
4,1328000.0,2.0,610.0,-37.9291,145.0472
3,1340000.0,2.0,526.0,-37.9279,145.031
4,1155000.0,3.0,271.0,-37.9252,145.0494
3,1275000.0,1.0,758.0,-37.9267,145.043
2,855000.0,1.0,296.0,-37.9243,145.0376
2,650000.0,1.0,116.0,-37.9245,145.0336
4,1815000.0,2.0,902.0,-37.924,145.0504
4,2255000.0,3.0,557.0,-37.9132,145.0251
2,855000.0,2.0,226.0,-37.9274,145.031
4,1860000.0,2.0,855.0,-37.9163,145.0324
2,725000.0,1.0,227.0,-37.9326,145.0387
3,1293000.0,1.0,632.0,-37.9282,145.0367
3,1328000.0,2.0,690.0,-37.9317,145.0469
4,1247000.0,2.0,354.0,-37.9326,145.0441
3,1370000.0,1.0,624.0,-37.9256,145.0374
3,1095000.0,2.0,581.0,-37.9286,145.0495
2,725000.0,1.0,677.0,-37.9173,145.0359
3,825000.0,2.0,147.0,-37.9317,145.0352
3,1235000.0,2.0,0.0,-37.9289,145.0478
3,1165000.0,1.0,694.0,-37.9315,145.0445
4,1910000.0,2.0,736.0,-37.9224,145.0462
2,820000.0,1.0,336.0,-37.929,145.0375
4,1430000.0,2.0,611.0,-37.9289,145.0481
2,910000.0,1.0,274.0,-37.9178,145.0413
4,2520000.0,4.0,579.0,-37.9155,145.0243
5,1900000.0,2.0,567.0,-37.9144,145.0401
2,670000.0,2.0,123.0,-37.9307,145.0379
2,680000.0,1.0,83.0,-37.9259,145.0341
4,1320000.0,3.0,346.0,-37.9294,145.041
6,1900000.0,3.0,708.0,-37.9181,145.04399999999995
3,1535000.0,2.0,572.0,-37.9148,145.0404
4,1281000.0,1.0,594.0,-37.9206,145.0383
5,1385000.0,2.0,664.0,-37.9241,145.048
4,2620000.0,4.0,579.0,-37.9155,145.0243
2,825000.0,2.0,176.0,-37.9237,145.0763
2,746000.0,1.0,281.0,-37.9255,145.0796
5,1275000.0,2.0,683.0,-37.9333,145.0602
3,1025000.0,2.0,384.0,-37.9229,145.0557
2,495000.0,1.0,76.0,-37.91,145.0842
4,1220000.0,2.0,585.0,-37.9167,145.0771
3,885000.0,1.0,565.0,-37.9262,145.0808
3,830000.0,2.0,292.0,-37.9168,145.069
4,1210000.0,3.0,291.0,-37.9347,145.0546
4,1160000.0,2.0,321.0,-37.914,145.0714
3,1215000.0,2.0,730.0,-37.9119,145.0705
4,1200000.0,2.0,619.0,-37.9358,145.0688
3,1050000.0,2.0,627.0,-37.9284,145.0668
5,950000.0,2.0,618.0,-37.9209,145.0757
2,380000.0,2.0,0.0,-37.9212,145.0674
3,1338000.0,2.0,610.0,-37.9231,145.066
2,651000.0,1.0,265.0,-37.9223,145.0747
3,1390000.0,2.0,590.0,-37.9256,145.0757
3,1100000.0,1.0,578.0,-37.9186,145.0709
4,1206000.0,1.0,636.0,-37.925,145.0612
2,486500.0,1.0,0.0,-37.9082,145.0681
4,1415000.0,2.0,604.0,-37.9153,145.0707
4,1185000.0,2.0,305.0,-37.9245,145.0507
4,1060000.0,3.0,313.0,-37.9164,145.0765
3,845000.0,2.0,295.0,-37.9239,145.0781
3,860000.0,2.0,254.0,-37.9227,145.0558
3,921000.0,2.0,167.0,-37.9219,145.0733
2,742500.0,1.0,300.0,-37.9099,145.0726
3,920000.0,2.0,578.0,-37.9303,145.0805
2,702000.0,1.0,591.0,-37.9179,145.071
3,805000.0,2.0,268.0,-37.9196,145.0691
4,1100000.0,2.0,274.0,-37.9257,145.0735
3,1050000.0,1.0,726.0,-37.9117,145.0695
2,722000.0,2.0,201.0,-37.9293,145.0657
3,930000.0,1.0,588.0,-37.9286,145.069
3,921000.0,2.0,291.0,-37.919,145.0829
4,1035000.0,1.0,610.0,-37.9193,145.0691
4,1352000.0,2.0,618.0,-37.9252,145.0562
4,1005000.0,2.0,296.0,-37.9197,145.05700000000004
5,1600000.0,2.0,659.0,-37.906,145.0547
3,1200000.0,1.0,721.0,-37.9244,145.0665
3,780000.0,2.0,421.0,-37.9168,145.0809
4,1250000.0,2.0,314.0,-37.9299,145.0598
4,1110000.0,2.0,583.0,-37.9262,145.0624
4,1690000.0,2.0,700.0,-37.9117,145.0534
3,791000.0,3.0,391.0,-37.9149,145.0788
3,900000.0,1.0,780.0,-37.9347,145.0507
3,970000.0,2.0,267.0,-37.9176,145.0566
3,823000.0,2.0,213.0,-37.9079,145.0707
4,1045000.0,2.0,316.0,-37.9198,145.0789
2,655000.0,1.0,154.0,-37.9079,145.0685
5,1550000.0,3.0,623.0,-37.9066,145.0541
3,835000.0,1.0,250.0,-37.9087,145.0537
4,1465000.0,2.0,319.0,-37.9256,145.0533
3,910000.0,1.0,587.0,-37.9241,145.0763
3,920000.0,2.0,388.0,-37.9329,145.053
3,935000.0,2.0,230.0,-37.9179,145.0592
3,977000.0,1.0,543.0,-37.9242,145.0705
3,1352000.0,1.0,686.0,-37.9113,145.0765
4,1115000.0,2.0,575.0,-37.9274,145.0654
3,1197000.0,1.0,692.0,-37.9232,145.0563
2,485000.0,2.0,0.0,-37.9292,145.0708
4,1365000.0,1.0,582.0,-37.9129,145.0598
4,1698888.0,2.0,598.0,-37.9138,145.0774
3,965000.0,2.0,283.0,-37.9142,145.08
3,870000.0,2.0,365.0,-37.9225,145.0754
3,1161000.0,2.0,629.0,-37.912,145.0752
3,1266000.0,1.0,676.0,-37.9307,145.0531
3,700000.0,2.0,194.0,-37.9272,145.0801
4,1325000.0,4.0,363.0,-37.9116,145.0686
3,770000.0,2.0,281.0,-37.9257,145.0811
1,380000.0,1.0,0.0,-37.9315,145.0619
4,1175000.0,2.0,620.0,-37.9281,145.0669
3,1200000.0,1.0,640.0,-37.916,145.0776
4,1370000.0,1.0,684.0,-37.9147,145.0751
4,1433500.0,1.0,725.0,-37.9289,145.0502
3,860000.0,2.0,210.0,-37.9075,145.061
2,715000.0,1.0,194.0,-37.9107,145.0598
2,710000.0,1.0,0.0,-37.9212,145.0606
5,1550000.0,3.0,583.0,-37.9143,145.0699
3,790000.0,1.0,406.0,-37.9286,145.0737
3,1020000.0,1.0,596.0,-37.9251,145.0771
3,886000.0,2.0,185.0,-37.9159,145.0787
4,1015000.0,2.0,625.0,-37.9374,145.0726
4,1255000.0,2.0,610.0,-37.9207,145.0757
3,1320000.0,1.0,593.0,-37.9178,145.067
3,870000.0,2.0,326.0,-37.9236,145.0545
4,1472500.0,2.0,592.0,-37.9351,145.0572
2,640000.0,2.0,298.0,-37.908,145.0716
4,1620000.0,2.0,697.0,-37.8151,145.135
2,645000.0,1.0,140.0,-37.8271,145.1299
4,1560000.0,2.0,729.0,-37.8233,145.1267
3,1715000.0,2.0,458.0,-37.8257,145.1216
3,1200000.0,1.0,550.0,-37.8275,145.1298
